Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
T16A_ACAGTG_L001_R1_001	38.87214483298017	51.0	101.0	0.0	12424755.0
T16A_ACAGTG_L001_R2_001	37.30557929456507	50.0	101.0	9.090909090909092	12424755.0
T17N_CAGATC_L001_R1_001	44.231712187399694	50.0	101.0	0.0	18742925.0
T17N_CAGATC_L001_R2_001	42.276311640723705	49.0	101.0	9.090909090909092	18742925.0
T42N_CTTGTA_L001_R1_001	45.833402035502615	50.0	101.0	0.0	14407441.0
T42N_CTTGTA_L001_R2_001	44.327635633702144	49.0	101.0	9.090909090909092	14407441.0
T44N_TGACCA_L001_R1_001	43.791816582710354	50.0	101.0	0.0	23117818.0
T44N_TGACCA_L001_R2_001	41.0484587504025	49.0	101.0	9.090909090909092	23117818.0
T47A_GCCAAT_L001_R1_001	41.725121790637395	50.0	101.0	0.0	16557206.0
T47A_GCCAAT_L001_R2_001	39.825505756908655	49.0	101.0	9.090909090909092	16557206.0
T49A_CGATGT_L001_R1_001	43.39974298403474	50.0	101.0	0.0	20331205.0
T49A_CGATGT_L001_R2_001	41.81461961958517	49.0	101.0	9.090909090909092	20331205.0
