Module	Section	Sample Name	Source
FastQC	all_sections	T16A_ACAGTG_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T16A_ACAGTG_L001_R1_001_fastqc.zip
FastQC	all_sections	T16A_ACAGTG_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T16A_ACAGTG_L001_R2_001_fastqc.zip
FastQC	all_sections	T17N_CAGATC_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T17N_CAGATC_L001_R1_001_fastqc.zip
FastQC	all_sections	T17N_CAGATC_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T17N_CAGATC_L001_R2_001_fastqc.zip
FastQC	all_sections	T42N_CTTGTA_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T42N_CTTGTA_L001_R1_001_fastqc.zip
FastQC	all_sections	T42N_CTTGTA_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T42N_CTTGTA_L001_R2_001_fastqc.zip
FastQC	all_sections	T44N_TGACCA_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T44N_TGACCA_L001_R1_001_fastqc.zip
FastQC	all_sections	T44N_TGACCA_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T44N_TGACCA_L001_R2_001_fastqc.zip
FastQC	all_sections	T47A_GCCAAT_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T47A_GCCAAT_L001_R1_001_fastqc.zip
FastQC	all_sections	T47A_GCCAAT_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T47A_GCCAAT_L001_R2_001_fastqc.zip
FastQC	all_sections	T49A_CGATGT_L001_R1_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T49A_CGATGT_L001_R1_001_fastqc.zip
FastQC	all_sections	T49A_CGATGT_L001_R2_001	/localData/alunos/haniel.cedraz/bioinfo_gdma_2023/fastqc_raw/T49A_CGATGT_L001_R2_001_fastqc.zip
